alim_grp_code,alim_ssgrp_code,alim_ssssgrp_code,rayon,alim_code,alim_nom_fr,energieKj,energieKcal,fibres,calcium,cuivre,fer,iode,magnesium,manganese,phosphore,potassium,selenium,sodium,zinc,vitamineA,vitamineD,vitamineE,vitamineK1,vitamineC,vitamineB1,vitamineB2,vitamineB3,vitamineB5,vitamineB6,vitamineB9,vitamineB12
1,102,0,Traiteur,25947,"Bouillon de volaille, déshydraté reconstitué",23.5,5.58,5e-05,5.0,0.0,0.05,0.0,1.0,0.01,0.0,10.0,0.0,312.0,0.01,1.0,0.0,0.0,0.0,0.0,0.005,0.01,0.1,0.02,0.0,1.0,0.01
1,102,0,Traiteur,25948,"Bouillon de légumes, déshydraté reconstitué",22.7,5.38,0.0,1.0,0.0,0.1,0.0,2.0,0.01,0.0,8.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.1,0.0,0.0,1.0,0.0
1,103,10304,Traiteur,25539,Brochette de poisson,535.0,127.0,0.29,26.5,0.026,0.72,65.5,28.4,0.049,190.0,320.0,11.7,223.0,0.25,18.4,1.41,1.02,0.0,6.33,0.074,0.067,2.84,0.29,0.26,12.0,2.03
1,103,10307,Traiteur,25203,"Pâtes fraîches farcies (ex : raviolis, tortellinis), aux légumes, préemballées, crues",1080.0,255.0,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,201,20101,Fruits et légumes,13004,"Avocat, pulpe, cru",843.0,205.0,3.6,9.4,0.18,0.34,10.0,21.0,0.2,38.0,430.0,10.0,6.0,0.43,0.0,0.0,2.23,14.5,0.25,0.052,0.037,1.56,1.07,0.17,70.4,0.0
2,201,20101,Fruits et légumes,20004,"Bette ou blette, crue",68.3,16.4,1.8,25.0,0.03,0.85,10.0,17.0,0.16,10.0,300.0,10.0,53.2,0.07,0.0,0.125,0.25,0.4,3.08,0.0075,0.015,0.05,0.2,0.036,24.7,0.0
2,201,20101,Fruits et légumes,20009,"Carotte, crue",169.0,40.2,2.7,25.0,0.05,0.24,10.0,10.0,0.1,22.0,230.0,10.0,43.0,0.18,0.0,0.0,0.27,2.96,2.05,0.028,0.005,0.05,0.2,0.093,59.4,0.0
2,201,20101,Fruits et légumes,20010,"Champignon, tout type, cru",91.2,21.7,1.72,7.78,0.32,0.69,1.0,10.9,0.061,85.6,341.0,1.39,4.76,0.65,0.0,0.2,0.01,0.0,3.4,0.084,0.42,4.55,1.75,0.082,29.0,0.0
2,201,20101,Fruits et légumes,20014,"Chou rouge, cru",126.0,30.0,2.8,36.0,0.02,0.25,10.0,9.7,0.12,30.0,260.0,10.0,14.0,0.15,0.0,0.0,0.04,6.41,18.7,0.036,0.005,0.12,0.24,0.14,31.9,0.0
2,201,20101,Fruits et légumes,20016,"Chou-fleur, cru",109.0,26.2,2.2,23.0,0.02,0.27,10.0,9.8,0.14,40.0,270.0,10.0,6.0,0.22,0.0,0.0,0.04,3.31,4.14,0.031,0.005,0.26,0.72,0.22,56.2,0.0
