Identifiant,NomGroupePlat,NumPlat,Aliment,NomFamPlat,TextRecette,Viande,Poisson,Ig(bas:55 ou moins; moyen: 56-60 élevé: >ou=70),MacroN,Végé,sansGluten,cétogène,DurPrep,SaisDeb,SaisFin,NumIng1,QteIng1,UniteIng1,NumIng2,QteIng2,UniteIng2,NumIng3,QteIng3,UniteIng3,NumIng4,QteIng4,UniteIng4,NumIng5,QteIng5,UniteIng5,NumIng6,QteIng6,UniteIng6,NumIng7,QteIng7,UniteIng7,NumIng8,QteIng8,UniteIng8,NumIng9,QteIng9,UniteIng9,NumIng10,QteIng10,UniteIng10,NumIng11,QteIng11,UniteIng11,NumIng12,QteIng12,UniteIng12,NumIng13,QteIng13,UniteIng13,NumIng14,QteIng14,UniteIng14,NumIng15,QteIng15,UniteIng15,NumIng16,QteIng16,UniteIng16,NumIng17,QteIng17,UniteIng17,NumIng18,QteIng18,UniteIng18,NumIng19,QteIng19,UniteIng19,NumIng20,QteIng20,UniteIng20,Prix,Diff,Medi,Sanssel,Porc
1,Légumes-saison,1,brocoli,"Poulet, brocoli, tomates et  basilic","Cuire à la vapeur le brocolis pendant 15 min.Dans une grande casserole, faites dorer les filets de poulet, puis réservez. Faites ensuite revenir les oignons et l'ail dans l'huile, remettez les filets et ajoutez les tomates. Couvrez et laissez mijoter 30min (ajoutez un peu d'eau si nécessaire en milieu de cuisson), ajoutez le basilic et les olives en fin de cuisson.",non,oui,bas,P-L,non,non,non,60,janvier,décembre,20304,200,g,36040,120,g,17270,10,ml,20276,200,g,13186,40,g,13186,30,g,20034,20,g,11033,10,g,11023,5,g,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
2,Légumes-saison,2,brocoli,Tarte thon brocoli sans pâte,"Cuire au préalable à la vapeur le brocolis pendant 15 min. Egouttez la boite de thon dans une passoire. Battre dans un saladier les œufs, y rajouter la crème, l'huile d'olive, le fromage. Bien mélanger. Rajoutez le brocolis puis le thon, les herbes, l'ail, la ciboulette et l'aneth. salez, poivrez, mélangez. Versez la préparation dans un plat en verre pour le four. Enfournez 35 min à 180°C. 5 minutes avant la fin, parsemez le dessus du reste de fromage, enfournez à nouveau.",non,oui,bas,P-L,non,non,non,60,janvier,décembre,20304,200,g,26053,150,g,22000,2,oeuf,19430,50,ml,12804,50,g,17270,10,ml,11023,1,pincée,11093,2,pincée,11003,2,pincée,11060,2,pincée,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
3,Légumes-saison,3,brocoli,"Super poêlée Provençale, Brocoli","Faire bouillir le riz dans de l'eau salée en suivant les récommandations. Cuire à la vapeur le brocoli pendant 15 min. Faire revenir l'oignon coupé en rondelles et l'ail dans de l'huile d'olive dans une poêle. Couper les légumes en rondelles ou en dés suivant la forme des légumes. Ajouter les avec les champignons, les olives, les tomates le persil (broyé) et les herbes dans la poêle. Ajouter le jus de citron. Laisser cuire 5 minutes à feu fort. Mouiller avec le bouillon dilué dans un verre d'eau. Laisser fondre à feu moyen pendant 15 minutes, jusqu'à ce que les légumes soient bien moelleux. Saler, poivrer. Servir avec le riz.",non,non,moyen,L-G,non,non,non,25,janvier,décembre,20304,150,g,20039,150,g,20276,100,g,9109,70,g,13186,30,g,17270,20,ml,13067,40,g,11014,10,g,20034,30,g,11023,5,g,20228,50,g,25947,10,g,11060,100,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
4,Légumes-saison,4,brocoli,Foie au vinaigre et aux brocoli,"Cuire au préalable à la vapeur le brocoli pendant 15 min. Pendant ce temps, faites cuire la tranche de foie dans un peu d'huile. Quand elle est bien dorée, salez, poivrez et ajoutez le vinaigre, selon vos goûts. Laissez mijoter selon la cuisson du foie, puis mettez la de côté, en la gardant au chaud. Dans le jus de cuisson, faites fondre les échalotes émincées, puis ajoutez un peu de fond de veau, puis rajoutez la muscade, les olives et du persil en poudre. Nappez la tranche de foie et le brocolis de cette sauce.",oui,non,bas,P-L,non,non,non,30,janvier,décembre,20304,300,g,40106,100,g,13186,50,g,20097,75,g,17270,20,ml,11304,10,g,11090,50,ml,11048,1,pincée,11024,5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
5,Légumes-saison,5,brocoli,Lieu noir à la menthe et brocoli,"Dans une caserole,portez à ébullition 2 volumes d'eau pour un volume de quinoa et laisser cuire le quinoa pendant 15 minutes. cuire à la vapeur le brocolis pendant 10 min. 
Dans une poêle, diluez le cube dans de l'eau, puis faites chauffer quelques minutes jusqu’à dissolution de celui-ci. Attention à ne pas mettre trop d'eau. Rajoutez le brocolis, l'huile d'olive, et cuire à feu moyen pendant 5min, puis ajoutez la menthe ciselée, la ciboulette, le persil en fin de cuisson. Enlevez le surplus d'eau et réservez. Poêlez le lieu noir lentement du côté peau, à feu doux pendant 5 minutes, saupoudrez de sésame sans le brûler, salez et poivrez-le en fin de cuisson. Montez l'assiette avec le quinoa et le poisson recouvert de jus de citron .",non,oui,moyen,P-G,non,non,non,30,janvier,décembre,20304,150,g,9340,60,g,26134,200,g,15010,20,g,17270,20,ml,2007,5,ml,11172,1,g,11027,10,g,11014,10,g,11003,15,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
6,Légumes-saison,6,brocoli,Omelette aux brocoli,"Cuire au préalable à la vapeur le brocoli découpé en petits morceaux pendant 15min. Dans un bol, battez les œufs avec le lait. Ajoutez le sel et le poivre, et mélangez bien. Faites chauffer l'huile d'olive dans une poêle à feu moyen. Ajoutez l'oignon et faites-le revenir pendant 2-3 minutes jusqu'à ce qu'il soit translucide. Ajoutez l'ail et faites cuire encore 1 minute. Versez le brocoli, les graines et la garniture dans la poêle et laissez cuire le mélange 2-3 minutes.",non,non,bas,P-L,non,non,non,15,janvier,décembre,20304,100,g,22000,2,oeuf,19060,30,ml,12060,10,g,15011,10,g,17270,15,ml,20034,30,g,11023,5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
7,Légumes-saison,7,brocoli,"Coquillettes brocoli,épinards","Faites cuire le brocoli à la vapeur pendant 15min et faites cuire les pâtes dans l'eau bouillante salée. Cuire les épinards dans une casserole pendant 5min à feu moyen. Égouttez-les. Puis dans une poêle cuire les lardons et y ajoutez les pâtes ,les épinards et le brocolis coupés en petits morceaux. Mélangez vivement en ajoutant la crême. Ajoutez les condiments et épices de votre choix.",oui,non,moyen,P-L-G,non,non,non,40,avril,octobre,20304,100,g,20059,150,g,28501,50,g,9810,80,g,19430,50,ml,11060,2,pincée,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
8,Légumes-saison,8,brocoli,Gratin de brocoli et brochette de poisson,"Cuire au préalable à la vapeur le brocoli pendant 15 min. Disposez les légumes dans un plat à gratin Versez la crème liquide dessus. Salez, poivrez et ajoutez l'ail en poudre puis parsemez de fromage râpé, mettre au four 8-10min jusqu'à ce que le fromage soit légèrement grillé. Pendant ce temps cuire le poisson dans un peu d'huile d'olive dans une poêle.  Garnir le poisson aux herbes de provance",non,oui,bas,P-L,non,non,non,30,janvier,décembre,20304,300,g,25539,150,g,19430,100,ml,12804,50,ml,17270,5,g,11060,2,ml,20034,30,g,11023,2,pincée,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
9,Légumes-saison,9,brocoli,Poulet à la libanaise,"Cuire au préalable à la vapeur le brocoli pendant 15 min. Mélanger les ingrédients de la marinade : le poulet avec 2 cuillères à soupe d'huile, 1  cuillère à soupe de jus de citron, 0,5 cuillère à café de cumin, 0,5 de cannelle, 0,5 mélange 4 épices, 0,5 de poivre de cayenne), piler 1 gousse d'ail, saler; mélanger. Filmer et entreposer 12 heures au réfrigérateur. Couper un citron en tranche, presser le jus de l'autre citron. Mettre le poulet dans un plat à gratin, avec le brocoli coupés en petits morceaux, les citrons coupés en tranches et le jus de citron. Mélanger l’ensemble. Enfourner à 180 °C pendant 45 minutes. Emincer l'oignon rouge, effeuiller et hacher le persil. Pendant ce temps cuire le riz dans l'eau bouillante. A la sortie du four, agrémentez le poulet d’oignon rouge émincé et de persil haché.",oui,non,moyen,P-L-G,non,non,non,60,janvier,décembre,20304,150,g,36040,140,g,9120,60,g,17270,5,ml,11014,10,g,11023,5,g,20238,30,ml,2007,2,citron,11042,1,g,11025,0.5,g,11081,0.5,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,non
10,Légumes-saison,10,brocoli,Brocoli au lait de coco,"Cuire au préalable à la vapeur le brocoli pendant 15 min. Mettre les oignons dans une casserole après les avoir préparés et coupés en fines lamelles, avec un peu d’huile d’olive. Couper la viande en petits morceaux. Ajouter et faire revenir les morceaux de viande. Ajouter le lait de coco. Puis ajouter l’ail écrasé, les noix, le poivre, le sel, le thym, le cumin, le persil et le laurier. . Ensuite mélanger",oui,non,bas,P-L,non,non,non,30,janvier,décembre,20304,300,g,28302,150,g,18041,50,ml,15055,15,g,20034,30,g,11023,5,g,11014,10,g,11070,2,g,11042,2,g,11053,2,g,11015,1,pincée,11017,1,pincée,,,,,,,,,,,,,,,,,,,,,,,,,bon marché,facile,oui,<7g,oui
